Star Name,Identity,Magnitude,RA,Dec,Alt,Az,xcentroid,ycentroid,background_mean,obs_mag
Vega,Alpha Lyrae,0.03,279.2347347,38.7836889,53.54900578413234,293.8059445923008,399.03767642421195,300.6804533772003,None,-8.324730858946696
Altair,Alpha Aquilae,0.77,297.69575,8.8683333,57.00075723486197,231.92411591181727,388.38295217004537,188.06027982311235,None,-7.832957084634927
Fomalhaut,Alpha Piscis Austrini,1.16,344.413,-29.6222167,25.580796087748976,159.75986085566538,254.0523193094346,65.48054718915029,None,-7.729768407860634
Mirfak,Alpha Persei,1.79,51.0807086,49.8611792,25.048765534437518,45.26774328961325,154.2199323609001,361.24301555582,None,-7.265656950795602
Hamal,Alpha Arietis,2.0,31.7933572,23.4624175,29.784297945411048,79.21851263058284,123.88963736931366,259.51740927693817,None,-7.047282157262539
Polaris,Alpha Ursae Minoris,2.02,37.953,89.2641667,31.82306191283718,0.7905662321570538,279.6033359719988,414.0734560459411,None,-7.08226191552492
Alpheratz,Alpha Andromedae,2.06,2.097,29.09055,56.707648606399,84.08056114695658,195.01251790349346,243.4747047148541,None,-7.506036580943276
Mirach,Beta Andromedae,2.06,17.4330161,35.6205578,45.413695910917966,69.49506506528509,166.71669791620616,278.45856434214426,None,-7.763407675444815
Rasalhague,Alpha Ophiuchi,2.08,263.7336228,12.5600375,32.2334265860801,264.9957658431196,470.5937421659741,247.47131426708137,None,-7.1746408736838845
Kochab,Beta Ursae Minoris,2.08,222.6763575,74.1555039,27.459988624343584,342.3612284923196,336.43566554263896,421.9667985207804,None,-6.905006217863506
Schedar,Alpha Cassiopeiae,2.23,10.127,56.5372167,49.41819289983597,38.042640529319556,212.5418787063145,334.4546669760593,None,-7.3488003002768085
Eltanin,Gamma Draconis,2.23,269.1515411,51.4888956,46.04624163766927,313.2099229962081,388.891479324866,346.3863336212628,None,-7.4300551269160175
Almach,Gamma Andromedae,2.26,30.9748044,42.3297247,36.40862237546911,58.05267138081911,155.29702552456294,314.45685100407536,None,-7.359801354347467
Caph,Beta Cassiopeiae,2.27,2.2945,59.1497167,52.20185867797691,31.626591628351978,228.0143144665312,337.29237360136153,None,-7.295631682219803
Enif,Epsilon Pegasi,2.39,326.04675,9.875,68.10835304211572,173.017422878611,299.03835368964724,172.81559064996526,None,-7.4009285600002
Scheat,Beta Pegasi,2.42,345.94375,28.0827833,70.18846085076424,94.45567507393285,237.18260819428508,231.82046172313198,None,-7.470360348966787
Alderamin,Alpha Cephei,2.44,319.6448847,62.5855744,58.94850080248689,356.57972016666764,295.62619592552784,341.60761281695613,None,-7.087797771016049
Tsih,Gamma Cassiopeiae,2.47,14.177,60.7166667,46.12961845776508,33.08595928398795,215.00136088601428,348.52342549223863,None,-7.407227250185818
Markab,Alpha Pegasi,2.49,346.1902228,15.2052672,63.53213337527538,123.04702341319157,234.21105374625134,190.5374489553528,None,-7.359718440750276
Sheratan,Beta Arietis,2.64,28.6600458,20.8080314,31.31287350501636,83.4265639359478,127.46867854805265,246.52001606789565,None,-6.455783566245716
Rukbah,Delta Cassiopeiae,2.68,21.45425,60.2352833,42.770177805139454,34.962219778617204,205.46618642979598,352.77970078908515,None,-6.7535627316100735
Tarazed,Gamma Aquilae,2.72,296.5649178,10.6132614,57.47423723875442,235.6496211310439,390.9556721128903,194.73064317528107,None,-6.763663474926328
Kelb al Rai,Beta Ophiuchi,2.77,265.8681361,4.5673044,29.801073679206418,255.77252491841563,474.52834737245485,219.51078210973773,None,-6.458436452040407
Rastaban,Beta Draconis,2.79,262.60825,52.3013833,41.97384353924828,314.05443100512235,394.31114573537394,356.10337769469174,None,-6.837625736331351
Algenib,Gamma Pegasi,2.83,3.30925,15.1836167,50.16586598296075,104.91525470976401,184.2704719446929,199.93397459772245,None,-6.780222941252233
Deneb Algiedi,Delta Capricorni,2.87,326.76,-16.1272167,42.132046237717724,175.63440864766744,304.44832070649727,99.02117478870925,None,-6.733155352386467
Matar,Eta Pegasi,2.94,340.7505725,30.221245,75.08771914459325,90.85166813889856,252.0781129169774,237.5153137228687,None,-7.179838339018882
Sadalmelik,Alpha Aquarii,2.96,331.44575,0.3197167,57.78132998385745,164.78555501369456,284.28012184575726,141.0615135008333,None,-7.191696341594003
Altais,Delta Draconis,3.07,288.1387581,67.6615406,48.52256761155751,340.59512274898316,329.8988661485028,368.7708759011784,None,-6.484172169058623
Alfirk,Beta Cephei,3.23,322.165,70.5608333,51.06195100054163,359.2872284666334,288.8480803739917,364.1163900559005,None,-6.854207268831142
Sulaphat,Gamma Lyrae,3.24,284.7359267,32.6895556,57.40921116732311,282.32351539484563,398.2262447359857,275.9895309663265,None,-7.007759824106178
Rasalgethi,Alpha Herculis,3.48,258.662,14.3902833,28.808659924653405,269.6329887766909,478.70058144813703,262.11132858125814,None,-7.433479378815152
Rotanev,Beta Delphini,3.63,309.3872556,14.5950889,68.6702211213474,220.15657962552717,349.7998111288117,196.0747387945841,None,-6.94961492174213
