id,xcentroid,ycentroid,source_sum,background_mean,obs_mag
Vega,399.03767642421195,300.6804533772003,2137.4321798860556,None,-8.324730858946696
Altair,388.38295217004537,188.06027982311235,1358.8854040391013,None,-7.832957084634927
Mirach,166.71669791620616,278.45856434214426,1274.5681747132821,None,-7.763407675444815
Fomalhaut,254.0523193094346,65.48054718915029,1235.683828727706,None,-7.729768407860634
Alpheratz,195.01251790349346,243.4747047148541,1005.5753814265595,None,-7.506036580943276
Scheat,237.18260819428508,231.82046172313198,973.0701259985354,None,-7.470360348966787
Rasalgethi,478.70058144813703,262.11132858125814,940.5713621612293,None,-7.433479378815152
Eltanin,388.891479324866,346.3863336212628,937.6096116883733,None,-7.4300551269160175
Tsih,215.00136088601428,348.52342549223863,918.101929415987,None,-7.407227250185818
Enif,299.03835368964724,172.81559064996526,912.7911569097104,None,-7.4009285600002
Almach,155.29702552456294,314.45685100407536,878.861706103547,None,-7.359801354347467
Markab,234.21105374625134,190.5374489553528,878.7945932976461,None,-7.359718440750276
Schedar,212.5418787063145,334.4546669760593,870.0017378044539,None,-7.3488003002768085
Caph,228.0143144665312,337.29237360136153,828.4240012995042,None,-7.295631682219803
Mirfak,154.2199323609001,361.24301555582,805.8659022491837,None,-7.265656950795602
Sadalmelik,284.28012184575726,141.0615135008333,752.7981387242471,None,-7.191696341594003
Matar,252.0781129169774,237.5153137228687,744.6210950954335,None,-7.179838339018882
Rasalhague,470.5937421659741,247.47131426708137,741.0650804684697,None,-7.1746408736838845
Alderamin,295.62619592552784,341.60761281695613,684.0992407262038,None,-7.087797771016049
Polaris,279.6033359719988,414.0734560459411,680.6200932965216,None,-7.08226191552492
Hamal,123.88963736931366,259.51740927693817,659.0416514814992,None,-7.047282157262539
Sulaphat,398.2262447359857,275.9895309663265,635.4829890863201,None,-7.007759824106178
Rotanev,349.7998111288117,196.0747387945841,602.3459140497957,None,-6.94961492174213
Kochab,336.43566554263896,421.9667985207804,578.0993580925985,None,-6.905006217863506
Sadalsud,314.0363838635273,128.001653772449,567.2264178667907,None,-6.88439112343203
Alfirk,288.8480803739917,364.1163900559005,551.674496779762,None,-6.854207268831142
Rastaban,394.31114573537394,356.10337769469174,543.3132475660886,None,-6.837625736331351
Algenib,184.2704719446929,199.93397459772245,515.3344506814099,None,-6.780222941252233
Tarazed,390.9556721128903,194.73064317528107,507.53429072149817,None,-6.763663474926328
Rukbah,205.46618642979598,352.77970078908515,502.83452918867454,None,-6.7535627316100735
Deneb Algiedi,304.44832070649727,99.02117478870925,493.4715744358591,None,-6.733155352386467
Altais,329.8988661485028,368.7708759011784,392.3456732582954,None,-6.484172169058623
Kelb al Rai,474.52834737245485,219.51078210973773,383.15507370230057,None,-6.458436452040407
Sheratan,127.46867854805265,246.52001606789565,382.2200161421044,None,-6.455783566245716

